Date,Close
2019-01-01,92.559998
2019-02-01,93.139999
2019-03-01,100.519997
2019-04-01,125.879997
2019-05-01,123.360001
2019-06-01,117.279999
2019-07-01,129.960007
2019-08-01,123.400002
2019-09-01,150.279999
2019-10-01,153.679993
2019-11-01,152.119995
2019-12-01,167.479996
2020-01-01,164.360001
2020-02-01,147.399994
2020-03-01,91.540001
2020-04-01,105.879997
2020-05-01,131.679993
2020-06-01,124.440002
2020-07-01,121.120003
2020-08-01,145.160004
2020-09-01,161.880005
2020-10-01,148.240005
2020-11-01,155.240005
2020-12-01,172
2021-01-01,149.399994
2021-02-01,166.080002
2021-03-01,164.919998
2021-04-01,183.679993
2021-05-01,189.039993
2021-06-01,183.800003
2021-07-01,179.399994
2021-08-01,201.899994
2021-09-01,209.699997
2021-10-01,217.600006
2021-11-01,222.899994
2021-12-01,217.800003
2022-01-01,188.050003
2022-02-01,151
2022-03-01,148.25
2022-04-01,133.399994
2022-05-01,122.650002
2022-06-01,115.400002
2022-07-01,129.550003
2022-08-01,112.949997
2022-09-01,100.199997
2022-10-01,97.440002
2022-11-01,126.050003
2022-12-01,126.150002
2023-01-01,162.75
2023-02-01,181.100006
2023-03-01,177.75
2023-04-01,161.050003
2023-05-01,152
2023-06-01,146
2023-07-01,157.699997
2023-08-01,145.25
2023-09-01,149.699997
2023-10-01,127.5
2023-11-01,157.050003
2023-12-01,164.899994
